Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
NIFTY-FUT,13-11-2025 09:15:00,25952.00,25993.90,25896.20,25992.00,1063950,17690776
NIFTY-FUT,13-11-2025 10:15:00,25994.00,26075.00,25981.10,26056.00,726675,17689050
NIFTY-FUT,13-11-2025 11:15:00,26056.00,26079.00,26042.50,26065.00,414750,17697000
NIFTY-FUT,13-11-2025 12:15:00,26065.00,26075.00,26012.80,26058.90,554250,17649000
NIFTY-FUT,13-11-2025 13:15:00,26058.90,26092.50,25935.00,25965.90,1274925,17695724
NIFTY-FUT,13-11-2025 14:15:00,25965.00,25998.30,25931.00,25953.00,756225,17617424
NIFTY-FUT,13-11-2025 15:15:00,25950.50,25980.00,25936.20,25953.80,386550,17577300
NIFTY-FUT,14-11-2025 09:15:00,25904.00,25983.00,25840.00,25859.70,2676300,17797276
NIFTY-FUT,14-11-2025 10:15:00,25859.90,25968.60,25825.00,25956.20,1116900,17878124
NIFTY-FUT,14-11-2025 11:15:00,25959.10,25969.00,25871.00,25924.20,638250,17990850
NIFTY-FUT,14-11-2025 12:15:00,25924.20,25940.60,25875.00,25895.00,423075,18063450
NIFTY-FUT,14-11-2025 13:15:00,25895.00,25919.80,25815.00,25855.40,848175,18273000
NIFTY-FUT,14-11-2025 14:15:00,25855.40,25979.90,25835.00,25979.50,1725975,18323924
NIFTY-FUT,14-11-2025 15:15:00,25978.70,25980.40,25952.00,25951.40,660825,18342500
NIFTY-FUT,17-11-2025 09:15:00,26006.00,26050.20,25971.00,26025.20,1238475,18174900
NIFTY-FUT,17-11-2025 10:15:00,26025.20,26041.70,25992.60,26020.00,475650,18156900
NIFTY-FUT,17-11-2025 11:15:00,26020.00,26047.20,25980.00,26042.00,532275,18267376
NIFTY-FUT,17-11-2025 12:15:00,26042.00,26069.00,26032.60,26049.90,453825,18254700
NIFTY-FUT,17-11-2025 13:15:00,26049.90,26083.00,26038.40,26075.00,435600,18226276
NIFTY-FUT,17-11-2025 14:15:00,26075.00,26075.00,26041.00,26057.30,496200,18260176
NIFTY-FUT,17-11-2025 15:15:00,26058.30,26065.10,26054.90,26060.10,360075,18060400
NIFTY-FUT,18-11-2025 09:15:00,26020.00,26023.90,25905.70,25930.90,1543650,18085350
