Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
BANKNIFTY-FUT,15-12-2025 10:30:00,59459.20,59475.00,59430.00,59430.00,3605,1763825
BANKNIFTY-FUT,15-12-2025 10:35:00,59430.00,59437.40,59390.00,59390.00,6195,1763790
BANKNIFTY-FUT,15-12-2025 10:40:00,59390.00,59429.20,59356.20,59409.00,7000,1767395
BANKNIFTY-FUT,15-12-2025 10:45:00,59409.00,59499.80,59409.00,59473.80,9555,1770510
BANKNIFTY-FUT,15-12-2025 10:50:00,59473.80,59499.80,59460.80,59495.00,4200,1770615
BANKNIFTY-FUT,15-12-2025 10:55:00,59492.00,59498.40,59450.40,59465.80,8085,1769705
BANKNIFTY-FUT,15-12-2025 11:00:00,59463.60,59486.60,59450.40,59475.20,3185,1768515
BANKNIFTY-FUT,15-12-2025 11:05:00,59475.20,59479.60,59445.20,59462.40,3605,1768060
BANKNIFTY-FUT,15-12-2025 11:10:00,59465.00,59488.00,59450.20,59481.20,1610,1766030
BANKNIFTY-FUT,15-12-2025 11:15:00,59485.80,59499.00,59462.60,59480.00,2100,1765540
BANKNIFTY-FUT,15-12-2025 11:20:00,59482.00,59482.00,59450.00,59472.20,1890,1765540
BANKNIFTY-FUT,15-12-2025 11:25:00,59472.20,59521.20,59467.60,59515.00,4830,1765750
BANKNIFTY-FUT,15-12-2025 11:30:00,59515.00,59520.00,59454.00,59469.40,5215,1761340
BANKNIFTY-FUT,15-12-2025 11:35:00,59460.20,59485.00,59451.00,59454.80,3780,1760290
BANKNIFTY-FUT,15-12-2025 11:40:00,59454.20,59482.80,59454.20,59464.40,3430,1760920
BANKNIFTY-FUT,15-12-2025 11:45:00,59474.60,59575.40,59474.60,59570.00,19040,1761935
BANKNIFTY-FUT,15-12-2025 11:50:00,59570.00,59660.00,59570.00,59620.00,38325,1748460
BANKNIFTY-FUT,15-12-2025 11:55:00,59620.00,59660.00,59604.20,59660.00,18795,1741950
BANKNIFTY-FUT,15-12-2025 12:00:00,59660.00,59729.00,59655.20,59700.00,68145,1734040
BANKNIFTY-FUT,15-12-2025 12:05:00,59689.60,59734.00,59685.00,59710.80,24570,1713285
BANKNIFTY-FUT,15-12-2025 12:10:00,59714.00,59720.00,59700.00,59713.20,9590,1711885
BANKNIFTY-FUT,15-12-2025 12:15:00,59713.20,59723.00,59682.60,59690.80,8820,1712025
BANKNIFTY-FUT,15-12-2025 12:20:00,59690.20,59715.00,59690.20,59702.00,3605,1712935
