Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
NIFTY-FUT,26-11-2024 10:30:00,24194.30,24212.00,24167.70,24204.00,165350,9226425
NIFTY-FUT,26-11-2024 10:45:00,24200.00,24240.20,24191.30,24217.30,227475,9149825
NIFTY-FUT,26-11-2024 11:00:00,24217.30,24235.30,24200.00,24202.00,134100,9125025
NIFTY-FUT,26-11-2024 11:15:00,24202.00,24216.70,24185.60,24207.00,99675,9143950
NIFTY-FUT,26-11-2024 11:30:00,24207.00,24245.00,24196.50,24234.00,144825,9148825
NIFTY-FUT,26-11-2024 11:45:00,24229.50,24238.00,24201.30,24214.80,87125,9169150
NIFTY-FUT,26-11-2024 12:00:00,24214.80,24215.00,24180.80,24192.30,56675,9175725
NIFTY-FUT,26-11-2024 12:15:00,24192.50,24204.00,24141.70,24164.70,191200,9179150
NIFTY-FUT,26-11-2024 12:30:00,24161.00,24178.30,24143.00,24167.80,103000,9194475
NIFTY-FUT,26-11-2024 12:45:00,24167.80,24207.00,24167.80,24190.00,104900,9202175
NIFTY-FUT,26-11-2024 13:00:00,24190.00,24195.00,24163.80,24172.50,102675,9240900
NIFTY-FUT,26-11-2024 13:15:00,24172.80,24212.50,24171.20,24174.00,107900,9249300
NIFTY-FUT,26-11-2024 13:30:00,24174.00,24186.00,24132.00,24165.00,303150,9344325
NIFTY-FUT,26-11-2024 13:45:00,24165.00,24221.50,24161.80,24215.50,197825,9354325
NIFTY-FUT,26-11-2024 14:00:00,24219.80,24220.90,24184.00,24200.00,130325,9355275
NIFTY-FUT,26-11-2024 14:15:00,24199.20,24229.90,24197.00,24197.50,109925,9369375
NIFTY-FUT,26-11-2024 14:30:00,24198.00,24267.80,24196.50,24259.10,272250,9396400
NIFTY-FUT,26-11-2024 14:45:00,24259.10,24275.00,24238.80,24264.00,148600,9405800
NIFTY-FUT,26-11-2024 15:00:00,24262.20,24266.00,24194.00,24228.20,234175,9352775
NIFTY-FUT,26-11-2024 15:15:00,24228.30,24232.00,24203.30,24217.10,168975,7996780
NIFTY-FUT,27-11-2024 09:15:00,24214.90,24230.00,24186.00,24186.00,257850,7990425
NIFTY-FUT,27-11-2024 09:30:00,24185.50,24205.00,24157.00,24177.50,201700,7962275
NIFTY-FUT,27-11-2024 09:45:00,24179.00,24246.50,24177.50,24212.00,158400,7945625
NIFTY-FUT,27-11-2024 10:00:00,24210.30,24218.00,24181.50,24209.50,168350,7988975
NIFTY-FUT,27-11-2024 10:15:00,24209.50,24212.70,24176.60,24190.20,162025,8034100
NIFTY-FUT,27-11-2024 10:30:00,24190.00,24208.50,24183.00,24198.00,100975,8045975
NIFTY-FUT,27-11-2024 10:45:00,24200.00,24204.60,24171.70,24199.50,111800,8048150
NIFTY-FUT,27-11-2024 11:00:00,24201.00,24216.00,24194.10,24196.00,111650,8059275
NIFTY-FUT,27-11-2024 11:15:00,24196.00,24210.00,24190.00,24208.30,116325,8098900
NIFTY-FUT,27-11-2024 11:30:00,24207.10,24220.00,24203.70,24213.50,141650,8103475
NIFTY-FUT,27-11-2024 11:45:00,24217.90,24217.90,24178.00,24204.80,169050,8118925
NIFTY-FUT,27-11-2024 12:00:00,24204.90,24244.00,24190.00,24213.90,145800,8115450
NIFTY-FUT,27-11-2024 12:15:00,24212.10,24291.80,24212.10,24275.80,342625,8148475
NIFTY-FUT,27-11-2024 12:30:00,24275.80,24337.70,24271.30,24322.50,396725,8142525
NIFTY-FUT,27-11-2024 12:45:00,24322.50,24340.00,24304.50,24331.00,169450,8154775
NIFTY-FUT,27-11-2024 13:00:00,24331.00,24353.80,24320.70,24347.00,229750,8186350
NIFTY-FUT,27-11-2024 13:15:00,24349.00,24363.50,24337.00,24340.00,294900,8215825
NIFTY-FUT,27-11-2024 13:30:00,24340.00,24370.00,24315.00,24351.50,267075,8311950
NIFTY-FUT,27-11-2024 13:45:00,24355.50,24380.00,24327.00,24333.00,276525,8366250
NIFTY-FUT,27-11-2024 14:00:00,24330.70,24354.00,24305.30,24309.20,192125,8466175
NIFTY-FUT,27-11-2024 14:15:00,24309.00,24340.30,24290.00,24333.30,221025,8562300
NIFTY-FUT,27-11-2024 14:30:00,24333.40,24337.00,24306.00,24311.30,142650,8591200
NIFTY-FUT,27-11-2024 14:45:00,24306.50,24323.10,24300.00,24315.20,194525,8655625
NIFTY-FUT,27-11-2024 15:00:00,24316.10,24316.10,24287.30,24298.50,372000,8774125
NIFTY-FUT,27-11-2024 15:15:00,24297.70,24315.80,24295.00,24299.50,318975,6214400
NIFTY-FUT,28-11-2024 09:15:00,24460.30,24460.30,24270.30,24276.00,370225,6191475
NIFTY-FUT,28-11-2024 09:30:00,24276.00,24285.00,24254.00,24273.80,203625,6127225
NIFTY-FUT,28-11-2024 09:45:00,24277.10,24324.00,24268.00,24324.00,234725,6160800
NIFTY-FUT,28-11-2024 10:00:00,24325.00,24354.00,24315.00,24337.00,302100,6094375
NIFTY-FUT,28-11-2024 10:15:00,24337.00,24343.40,24299.00,24300.10,343550,6165250
NIFTY-FUT,28-11-2024 10:30:00,24300.10,24308.10,24050.30,24121.00,911500,6106400
NIFTY-FUT,28-11-2024 10:45:00,24125.00,24129.00,24047.80,24114.30,393325,6073450
NIFTY-FUT,28-11-2024 11:00:00,24115.90,24128.80,24072.00,24080.50,553525,6232125
NIFTY-FUT,28-11-2024 11:15:00,24080.50,24086.00,24023.20,24051.00,254100,6238000
NIFTY-FUT,28-11-2024 11:30:00,24050.00,24065.00,24036.80,24055.30,189025,6278225
NIFTY-FUT,28-11-2024 11:45:00,24055.30,24126.00,24041.40,24047.00,263075,6251350
NIFTY-FUT,28-11-2024 12:00:00,24047.30,24085.00,24036.30,24072.10,155725,6313525
NIFTY-FUT,28-11-2024 12:15:00,24064.50,24095.00,24053.00,24086.90,139050,6350250
NIFTY-FUT,28-11-2024 12:30:00,24086.80,24094.50,23974.00,24028.30,507725,6569125
NIFTY-FUT,28-11-2024 12:45:00,24030.00,24039.70,23998.50,24000.00,218050,6606000
NIFTY-FUT,28-11-2024 13:00:00,23997.30,24009.80,23964.20,23975.70,324100,6709775
NIFTY-FUT,28-11-2024 13:15:00,23975.20,24017.00,23965.00,24003.00,194050,6731675
